"Category ID","Category","State ID","State","Quarter ID","Quarter","Monthly Wage","Monthly Wage Growth","Monthly Wage Growth Value","lastSalary"
2,"Professionals and Technicians",1,"Aguascalientes",20242,"2024-Q2",5188.394459271571,-0.28510453886545717,-2069.1624023114664,7257.556861583037
2,"Professionals and Technicians",2,"Baja California",20242,"2024-Q2",8085.182217919677,-0.031507436889784135,-263.0307946355588,8348.213012555236
2,"Professionals and Technicians",3,"Baja California Sur",20242,"2024-Q2",12932.719369566577,-0.06446621893512054,-891.1741459041277,13823.893515470705
2,"Professionals and Technicians",4,"Campeche",20242,"2024-Q2",12173.35972650451,0.06898684590976566,785.6052624686854,11387.754464035825
2,"Professionals and Technicians",5,"Coahuila de Zaragoza",20242,"2024-Q2",11920.990375413987,0.029724617849682545,344.11810415768014,11576.872271256307
2,"Professionals and Technicians",6,"Colima",20242,"2024-Q2",7886.773848332621,-0.07988627229335056,-684.746835300828,8571.52068363345
2,"Professionals and Technicians",7,"Chiapas",20242,"2024-Q2",9603.499382223194,-0.05331152968823614,-540.8085748184349,10144.307957041628
2,"Professionals and Technicians",8,"Chihuahua",20242,"2024-Q2",9755.160619081023,-0.09292174979640942,-999.3256855917116,10754.486304672735
2,"Professionals and Technicians",9,"Ciudad de México",20242,"2024-Q2",7856.379822230076,0.21832234193301242,1407.8566754206686,6448.523146809407
2,"Professionals and Technicians",10,"Durango",20242,"2024-Q2",9631.27217549443,-0.0098276383002922,-95.59210393425747,9726.864279428688
2,"Professionals and Technicians",11,"Guanajuato",20242,"2024-Q2",5492.166032708634,-0.059115874870368026,-345.0735231739154,5837.239555882549
2,"Professionals and Technicians",12,"Guerrero",20242,"2024-Q2",7255.310516079314,-0.03422594055974024,-257.12000031322987,7512.430516392544
2,"Professionals and Technicians",13,"Hidalgo",20242,"2024-Q2",7187.7130758391795,-0.13838827741330875,-1154.4587951058402,8342.17187094502
2,"Professionals and Technicians",14,"Jalisco",20242,"2024-Q2",6817.273790101065,-0.0020519916361189075,-14.01775311056008,6831.291543211625
2,"Professionals and Technicians",15,"Estado de México",20242,"2024-Q2",4930.0265774724285,-0.03475353600830996,-177.50477476350352,5107.531352235932
2,"Professionals and Technicians",16,"Michoacán de Ocampo",20242,"2024-Q2",10730.64735601325,0.028979224451006334,302.2080823841861,10428.439273629065
2,"Professionals and Technicians",17,"Morelos",20242,"2024-Q2",2423.852711339136,-0.05430442066760458,-139.18423660793087,2563.036947947067
2,"Professionals and Technicians",18,"Nayarit",20242,"2024-Q2",11105.447446928596,-0.01937746744854843,-219.44778878832585,11324.895235716922
2,"Professionals and Technicians",19,"Nuevo León",20242,"2024-Q2",11451.943016957304,0.024189498831750332,270.4741286118842,11181.46888834542
2,"Professionals and Technicians",20,"Oaxaca",20242,"2024-Q2",6737.676590632914,0.06244330327336435,395.995514688173,6341.681075944741
2,"Professionals and Technicians",21,"Puebla",20242,"2024-Q2",6562.939722648041,-0.060710010918482285,-424.1886391325361,6987.1283617805775
2,"Professionals and Technicians",22,"Querétaro",20242,"2024-Q2",4029.312525022465,-0.1729063274950765,-842.3394522189392,4871.651977241404
2,"Professionals and Technicians",23,"Quintana Roo",20242,"2024-Q2",9285.575807400846,0.03925299983949749,350.7198975935971,8934.85590980725
2,"Professionals and Technicians",24,"San Luis Potosí",20242,"2024-Q2",7690.205541010705,-0.0772537560481293,-643.8360131176005,8334.041554128306
2,"Professionals and Technicians",25,"Sinaloa",20242,"2024-Q2",11360.122219703568,0.07366780426684894,779.4545545677993,10580.667665135768
2,"Professionals and Technicians",26,"Sonora",20242,"2024-Q2",8924.736234072601,0.004755469341199741,42.240436438982215,8882.495797633619
2,"Professionals and Technicians",27,"Tabasco",20242,"2024-Q2",9152.458848421453,-0.1975997476724333,-2253.892061704024,11406.350910125477
2,"Professionals and Technicians",28,"Tamaulipas",20242,"2024-Q2",10621.493505879236,0.03352398155265038,344.52490576731907,10276.968600111917
2,"Professionals and Technicians",29,"Tlaxcala",20242,"2024-Q2",7314.3273232298625,0.013475092647330322,97.25077512854023,7217.076548101322
2,"Professionals and Technicians",30,"Veracruz de Ignacio de la Llave",20242,"2024-Q2",8505.69022771372,0.17309510733107808,1255.0502970220714,7250.639930691648
2,"Professionals and Technicians",31,"Yucatán",20242,"2024-Q2",10246.703732793803,-0.004300494518618526,-44.256216854786544,10290.95994964859
2,"Professionals and Technicians",32,"Zacatecas",20242,"2024-Q2",7953.398775639288,0.16266534633439997,1112.7383906760542,6840.660384963234
