"Category ID","Category","State ID","State","Quarter ID","Quarter","Monthly Wage","Monthly Wage Growth","Monthly Wage Growth Value","lastSalary"
1,"Officers, Directors and Heads",1,"Aguascalientes",20242,"2024-Q2",4978.085678286434,-0.3453916098614261,-2626.5917949623035,7604.677473248737
1,"Officers, Directors and Heads",2,"Baja California",20242,"2024-Q2",10214.809720889067,0.00859947181070189,87.09301432487337,10127.716706564193
1,"Officers, Directors and Heads",3,"Baja California Sur",20242,"2024-Q2",18888.090293013505,0.07133034476892468,1257.5896866972726,17630.500606316233
1,"Officers, Directors and Heads",4,"Campeche",20242,"2024-Q2",16406.954048375803,-0.06451928268889023,-1131.5731973112888,17538.52724568709
1,"Officers, Directors and Heads",5,"Coahuila de Zaragoza",20242,"2024-Q2",15392.401719964982,-0.04219010627586757,-678.0124831256035,16070.414203090586
1,"Officers, Directors and Heads",6,"Colima",20242,"2024-Q2",9655.176993241646,-0.29017019997846105,-3946.924514681339,13602.101507922986
1,"Officers, Directors and Heads",7,"Chiapas",20242,"2024-Q2",12903.347215583173,-0.06131578253886823,-842.8594165928534,13746.206632176027
1,"Officers, Directors and Heads",8,"Chihuahua",20242,"2024-Q2",9883.802044923043,-0.1652784168414227,-1957.0347614320108,11840.836806355053
1,"Officers, Directors and Heads",9,"Ciudad de México",20242,"2024-Q2",14561.198425469895,0.5331239038683799,5063.467427519199,9497.730997950695
1,"Officers, Directors and Heads",10,"Durango",20242,"2024-Q2",12301.349366640092,-0.19718776137397373,-3021.473050334078,15322.82241697417
1,"Officers, Directors and Heads",11,"Guanajuato",20242,"2024-Q2",7305.5187683648555,-0.2370467073065049,-2269.797097399075,9575.31586576393
1,"Officers, Directors and Heads",12,"Guerrero",20242,"2024-Q2",14672.604958677686,0.39100390493556114,4124.39232849287,10548.212630184817
1,"Officers, Directors and Heads",13,"Hidalgo",20242,"2024-Q2",10744.802679705848,0.014870894774121922,157.44350423427204,10587.359175471576
1,"Officers, Directors and Heads",14,"Jalisco",20242,"2024-Q2",8429.735036396494,-0.04581003130583004,-404.706021428472,8834.441057824966
1,"Officers, Directors and Heads",15,"Estado de México",20242,"2024-Q2",6841.159987445603,-0.22413562643250795,-1976.308916287343,8817.468903732946
1,"Officers, Directors and Heads",16,"Michoacán de Ocampo",20242,"2024-Q2",14013.945242948934,0.0014549449470683783,20.35989629148935,13993.585346657444
1,"Officers, Directors and Heads",17,"Morelos",20242,"2024-Q2",3406.123152382846,-0.06518243008697557,-237.50022613340525,3643.6233785162513
1,"Officers, Directors and Heads",18,"Nayarit",20242,"2024-Q2",17121.578979879985,-0.01645083215027998,-286.3753345057012,17407.954314385686
1,"Officers, Directors and Heads",19,"Nuevo León",20242,"2024-Q2",15870.364016709387,0.012781729559757003,200.29064008160458,15670.073376627783
1,"Officers, Directors and Heads",20,"Oaxaca",20242,"2024-Q2",8344.517709587675,-0.02655633056657104,-227.64519167646722,8572.162901264142
1,"Officers, Directors and Heads",21,"Puebla",20242,"2024-Q2",11020.724342582947,-0.03105315229435761,-353.19608316464473,11373.920425747592
1,"Officers, Directors and Heads",22,"Querétaro",20242,"2024-Q2",5370.687055429901,-0.1683282751569149,-1087.0136154005404,6457.700670830442
1,"Officers, Directors and Heads",23,"Quintana Roo",20242,"2024-Q2",12147.817309707314,-0.12033778420984967,-1661.8213125400034,13809.638622247317
1,"Officers, Directors and Heads",24,"San Luis Potosí",20242,"2024-Q2",11590.803247624046,-0.06976596224536402,-869.2904247183378,12460.093672342384
1,"Officers, Directors and Heads",25,"Sinaloa",20242,"2024-Q2",15374.076885083965,-0.10697796972393847,-1841.709919561099,17215.786804645064
1,"Officers, Directors and Heads",26,"Sonora",20242,"2024-Q2",11352.473004020678,0.06109648493002979,653.6598751002894,10698.813128920388
1,"Officers, Directors and Heads",27,"Tabasco",20242,"2024-Q2",11771.545091225022,-0.23199676563120197,-3555.923029270265,15327.468120495287
1,"Officers, Directors and Heads",28,"Tamaulipas",20242,"2024-Q2",11555.488185946278,-0.12294965812579382,-1619.9108011322332,13175.398987078512
1,"Officers, Directors and Heads",29,"Tlaxcala",20242,"2024-Q2",12881.972555488903,0.23475949737688384,2449.1938784628965,10432.778677026006
1,"Officers, Directors and Heads",30,"Veracruz de Ignacio de la Llave",20242,"2024-Q2",10257.867090423537,0.16491684032628842,1452.2023980405593,8805.664692382978
1,"Officers, Directors and Heads",31,"Yucatán",20242,"2024-Q2",15310.624126869146,0.10478018868360577,1452.098889271947,13858.5252375972
1,"Officers, Directors and Heads",32,"Zacatecas",20242,"2024-Q2",10152.54999259369,0.0372368888952134,364.47737264722673,9788.072619946463
